neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Central Harlem,141 West 126th Street,4A,10027,2,2,0,5000,0,CONDO,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/141-west-126-street-new_york/rental/4778331
Flatbush,639 East 28th Street,7D,11210,0,1,0,1650,0,TWOFAMILY,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/639-east-28-street-brooklyn/7d
Lenox Hill,445 East 77th Street,3M,10075,0,1,0,3200,0,RENTAL,0,f,f,,0.00,2025-07-04,2025-06-26,https://streeteasy.com/building/1453-york-avenue-new_york/3m
Turtle Bay,246 East 53rd Street,4A,10022,1,1,0,4250,3896,RENTAL,0,f,f,12,1.00,2025-07-15,2025-06-26,https://streeteasy.com/building/246-east-53-street-new_york/4a
Williamsburg,168 Metropolitan Avenue,1,11249,1,1,1,6200,0,HOUSE,1100,f,f,,0.00,2025-08-15,2025-06-26,https://streeteasy.com/building/168-metropolitan-avenue-brooklyn/1
Upper West Side,2785 Broadway,71,10025,1,1,0,3700,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/2785-broadway-new_york/71
Flatbush,124 Erasmus Street,3F,11226,3,2,0,3250,0,THREEFAMILY,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/124-erasmus-street-brooklyn/3f
Ditmars-Steinway,21-24 79th Street,2,11370,1,1,0,2500,0,CONDO,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/21_24-79-street-east_elmhurst/2
Flatbush,157 Erasmus Street,2C,11226,1,1,0,2700,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/157-erasmus-street-brooklyn/2c
Williamsburg,105 Roebling Street,3,11211,3,2,0,7000,0,MIXED_USE,0,f,f,,0.00,2025-06-24,2025-06-26,https://streeteasy.com/building/105-roebling-street-brooklyn/3
Turtle Bay,246 East 53rd Street,4D,10022,2,1,0,5400,0,RENTAL,0,f,f,,0.00,2025-07-15,2025-06-26,https://streeteasy.com/building/246-east-53-street-new_york/4d
Hudson Yards,360 West 34th Street,9R,10001,1,1,0,4595,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/sloane-chelsea/9r
Park Slope,913 Union Street,4,11215,2,2,0,6850,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/913-union-street-brooklyn/4
Turtle Bay,321 East 48th Street,10L,10017,0,1,0,3300,0,CONDO,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/the-continental-condominium/10l
Hudson Heights,21 Magaw Place,3D,10033,1,1,0,2699,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/21-magaw-place-new_york/3d
Hudson Yards,433 West 34th Street,10C,10001,0,1,0,2650,0,CO_OP,0,f,f,,0.00,2025-09-01,2025-06-26,https://streeteasy.com/building/433-west-34-street-new_york/10c
