neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Williamsburg,40 North 4th Street,2H,11249,3,2,0,6950,0,RENTAL,0,f,t,,0.00,2025-03-02,2025-03-02,https://streeteasy.com/building/the-wave-40-north-4-street-brooklyn/2h
West Village,19 Commerce Street,19,10014,2,1,0,5450,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-02,https://streeteasy.com/building/55-barrow-street-new_york/19
Little Italy,172 Mulberry Street,23,10013,1,1,0,3450,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-02,https://streeteasy.com/building/172-mulberry-street-new_york/23
Jackson Heights,87-10 34th Avenue,5G,11372,0,1,0,1750,0,CO_OP,370,f,t,,0.00,2025-03-31,2025-03-02,https://streeteasy.com/building/87_10-34-avenue-jackson_heights/5g
Central Harlem,200 West 145th Street,15,10039,4,1,0,3450,0,RENTAL,0,f,t,,0.00,2025-03-02,2025-03-02,https://streeteasy.com/building/200-west-145-street-new_york/15
Williamsburg,40 North 4th Street,4I,11249,0,1,0,4450,0,RENTAL,0,f,t,,0.00,2025-03-02,2025-03-02,https://streeteasy.com/building/the-wave-40-north-4-street-brooklyn/4i
Forest Hills,64-05 Yellowstone Boulevard,116,11375,1,1,0,2800,0,CONDO,624,f,f,,0.00,2025-03-02,2025-03-02,https://streeteasy.com/building/novo-64/rental/4669486
Bedford-Stuyvesant,179 Putnam Avenue,2R,11216,2,1,0,3288,0,RENTAL,0,f,t,,0.00,2025-03-02,2025-03-02,https://streeteasy.com/building/179-putnam-avenue-brooklyn/2r
Hunters Point,11-02 49th Avenue,4N,11101,1,1,0,4150,0,CONDO,737,f,t,,0.00,2025-04-22,2025-03-02,https://streeteasy.com/building/the-l-haus/4n
East Williamsburg,248 Mc Kibben Street,1L,11206,2,1,0,4950,0,RENTAL,1000,f,t,,0.00,2025-05-01,2025-03-02,https://streeteasy.com/building/248-mc-kibbin-street-brooklyn/1l
Hell's Kitchen,601 West 57th Street,22Q,10019,1,1,0,4653,4379,RENTAL,0,f,t,17,1.00,2025-03-03,2025-03-02,https://streeteasy.com/building/helena-57-west/22q
